128	7146	23
1706	3948	9
111	3576	4
130	2851	0
229	2877	11
110	6581	2
250	4229	0
101	5577	21
8467	4764	6
217	2116	11
838	1048	6
101	5090	11
1033	8525	6
109	9681	7
7517	5614	0
131	4161	13
494	4287	17
12	6124	5
16	822	7
101	4166	1
34573	7611	2
185	9651	6
104	9484	13
1848	4645	16
131	2376	10
151	1883	3
104	8197	15
286	298	0
18843	8264	30
118	6592	22
126	7742	29
103	7362	19
101	4737	1
691	4849	0
20136	9636	26
169	4766	11
108	1817	18
30444	8367	12
10124	2540	17
14102	4325	19
115	4137	0
6378	7736	9
130	2532	0
118	2573	8
14	1384	13
16	2420	8
419	4992	1
3134	2346	2
127	998	18
183	2558	10
10868	6365	12
1280	3996	12
12	1767	15
456	2994	8
13331	8	13
23287	4252	4
24200	2744	2
31166	7367	15
532	7326	2
9	2786	7
126	8914	9
411	8829	15
12322	5475	1
26366	4819	3
1668	844	17
106	9944	19
101	7214	4
9	6346	5
2992	2496	7
9460	2537	5
986	4485	1
4129	3369	8
7280	8230	5
120	9792	4
6613	6709	20
1865	2593	8
170	4118	5
113	2984	9
20785	3930	2
236	6146	3
101	46	1
14	1519	15
176	462	2
1062	9488	20
33755	6794	6
113	2060	3
12495	4591	14
12	3841	10
4399	5732	6
13778	3933	12
101	1802	15
23974	7268	5
103	8707	11
504	7942	9
8930	9836	8
14	6531	16
13223	1194	0
26421	275	30
35095	2969	10
32744	3711	2
3722	7079	7
503	3909	1
131	7684	4
6362	1424	7
11972	6252	24
136	1277	6
154	6129	0
219	7055	14
2353	206	9
32836	9272	20
696	7413	0
27375	6155	13
12	2945	14
32138	1921	1
113	2882	5
19870	6824	15
3131	3800	1
104	801	14
12	3949	16
12	2211	18
119	4193	1
104	7746	1
4182	5443	15
166	3874	1
2456	5212	8
14	9082	35
110	7602	4
25968	5519	13
13	7787	5
211	9636	15
196	2669	6
183	5522	21
754	9077	7
547	2755	1
102	6183	5
271	209	1
4503	9279	15
118	6350	18
124	1655	4
29676	3878	11
537	6335	12
125	2813	17
133	3705	2
1618	6380	0
109	1650	4
238	116	0
102	6759	7
2169	361	17
480	5242	8
168	5598	3
223	4817	19
12	5098	23
204	2033	13
134	2168	0
101	4559	7
17338	3176	35
229	561	2
11165	9283	32
14	6404	18
191	3429	15
129	5129	5
444	1497	9
112	862	9
477	4969	0
664	6035	20
111	1872	7
101	8809	10
810	572	8
1288	1664	3
10347	8655	5
733	9493	3
3420	7221	20
9079	4234	16
312	7345	9
122	6811	22
118	2948	14
3565	8472	13
101	3535	2
143	8106	2
108	9402	17
117	5415	13
3476	2911	17
536	3415	11
12	3599	14
6503	3000	1
2254	1599	14
1520	9575	1
14	5833	9
411	9205	29
150	7544	4
355	9496	23
131	8361	6
24545	7420	13
334	4005	9
875	5141	0
2741	6485	3
135	9464	9
110	1343	16
9448	4007	3
1122	2189	8
2249	2837	6
14	1606	16
3089	8302	6
391	3556	8
5028	530	12
425	9405	0
214	943	17
2656	4821	12
17908	4404	12
104	6637	12
12	4719	16
107	979	17
1723	4494	9
12	9286	9
247	7492	5
2108	6948	4
131	9195	1
131	9253	3
1268	256	18
103	1345	3
19008	7067	6
643	9702	2
321	750	18
23804	1414	14
1790	3464	1
2884	6471	3
9	1536	21
110	631	4
134	2005	0
125	4855	7
1328	1279	13
292	5165	2
159	3508	7
24649	6302	14
528	9399	6
264	2406	2
762	5129	12
105	5700	17
101	165	2
145	4489	11
209	1633	12
3801	6436	13
133	6456	25
117	6221	13
239	1756	1
11367	721	15
173	6366	2
20951	3594	7
12	1806	18
2	6910	13
119	5357	4
122	2934	17
14396	6495	7
112	7323	9
6153	71	6
12	5414	16
157	8346	1
14861	7206	2
19848	8751	14
140	8972	17
151	6260	15
137	4505	13
510	4955	12
12	70	6
222	9803	3
231	398	0
114	9477	12
101	902	10
108	2712	10
21871	8916	10
124	8626	14
22579	1496	14
285	883	5
178	8771	0
8173	7655	0
12	4718	4
12	994	12
5412	3698	6
426	52	10
141	7017	9
7761	6670	0
8835	3566	17
6362	8567	17
154	6236	0
101	8620	15
295	3827	0
102	1935	11
336	2088	4
115	3371	0
7361	5496	13
12	4740	8
1736	8143	20
120	5376	4
618	3534	22
596	9956	18
255	214	7
106	7579	10
12	1890	8
102	3850	4
131	1793	2
353	2002	4
1503	1320	3
1694	9336	10
118	4067	19
10143	6149	2
488	2309	0
101	9516	11
158	1520	12
101	2698	3
116	2118	4
20579	6344	1
105	3020	6
5602	8831	0
212	40	15
1258	6716	0
21	6677	10
411	5463	7
