126	1315	5	7.26
638	2898	9	100.11
103	112	536	8.03
1732	105	15	33.51
2362	129	4	8.55
305	150	10	9.8
106	7268	3	7.18
331	3059	3	20.06
195	145	19	11.62
590	201	5	10.83
121	3462	6	30.19
554	116	19	29.12
118	2501	5	10.67
483	101	45	14.26
826	2731	3	23.53
7173	127	3	16.17
264	4102	3	19.11
103	6242	4	7.8
481	687	6	29.63
57	382	27	34.74
305	320	5	11.46
5066	7818	3	47.94
112	4648	5	20.44
3009	12	8	9.61
1799	178	3	8
138	2495	3	7.08
137	7907	3	17.66
102	2298	9	7.44
1974	7325	3	40.62
109	267	29	7.03
150	3243	4	15.62
115	8159	3	13.57
705	289	3	7.58
1393	178	8	34.66
241	107	39	13.55
677	148	6	7.44
2788	148	3	8.53
101	482	44	11.94
143	12	274	20.05
4269	500	6	63.58
1784	564	3	17.32
103	5073	4	7.8
1936	4414	5	67.76
927	253	3	8.03
889	378	3	11.25
313	1233	4	18.25
5208	6785	3	54.67
192	626	5	9.67
1236	568	3	15.6
3131	12	8	9.61
117	160	49	16.95
149	1506	4	8.28
132	870	6	7.91
108	725	14	8.26
117	57	342	346.95
1021	817	3	16.49
632	137	7	6.68
209	144	16	10.58
3394	126	3	7.65
160	401	6	7.18
133	275	12	7.46
4592	2007	5	68.68
866	265	5	18.75
2173	672	3	19.63
958	2561	3	24.64
458	605	3	11.48
2247	12	10	6.91
101	107	1189	50.76
331	510	5	17.14
5908	102	4	6.98
109	517	17	7.52
223	1892	3	11.87
1268	176	5	15.07
111	5437	3	7.3
3010	1611	3	30.92
3033	125	4	10.32
6365	9	3	19.66
3224	147	4	15.16
4306	105	6	13.39
155	14	291	13.93
240	7903	3	26.27
1120	114	7	7.3
3075	625	4	32.72
120	1291	7	9.61
102	708	40	70.01
228	1394	3	9.62
216	436	9	26.28
453	248	6	16.19
105	5604	4	8.93
128	609	8	7.34
1397	185	3	7.17
5360	1974	3	36.13
165	1227	4	8.96
167	6684	3	21.62
2489	6884	3	42.45
173	862	4	7.97
1325	129	5	7.04
1209	192	4	11.26
106	7703	3	7.18
245	159	11	12.39
7616	150	3	19.8
7207	105	3	6.69
153	2494	3	8.54
150	1745	5	14.68
7903	3147	3	44.08
2349	7554	3	41.78
432	669	4	15.8
8311	106	3	7.18
163	320	7	6.79
493	274	4	9.25
189	279	8	11.6
1203	406	4	19.9
584	216	8	28.51
3010	6449	3	46.35
2030	368	3	15.74
2862	325	9	88.94
225	1425	3	9.5
510	331	5	17.14
681	2132	11	118.58
175	224	16	25.09
400	105	35	11.53
203	4045	6	49.4
890	112	21	51.9
523	5374	4	42.55
2537	152	10	67.21
522	869	3	12.89
4744	829	5	58.27
639	133	11	21.1
222	492	4	6.98
1832	101	14	14.48
107	901	14	15.15
782	101	29	8.82
4189	110	6	22.41
3680	101	7	7.24
140	264	12	10.34
791	248	3	7.38
104	4993	5	9.44
195	1279	3	7.25
373	375	4	10.04
290	701	5	19.42
