1247	1234	10
1118	3832	2
1107	7107	8
451	4698	5
4823	5089	21
353	2235	1
162	2776	0
17579	7198	14
132	6757	10
17633	1531	11
552	1464	4
453	6230	16
36546	8447	2
6527	5509	12
18547	2471	0
2198	4113	9
1603	3538	31
1814	6611	14
22884	889	3
714	4203	6
101	875	1
102	4640	22
102	9225	15
125	2024	41
104	8237	29
110	9386	33
2268	4302	26
11178	1175	17
105	3945	5
149	4579	2
2990	8006	8
7938	3532	6
1035	1370	1
17434	8541	24
1374	2202	1
505	4302	19
143	1746	4
166	4262	0
101	1345	11
995	3745	2
138	1457	17
125	4790	6
208	9395	4
103	3878	11
502	7662	20
809	6913	19
1763	7371	1
111	7409	0
3989	8599	14
111	8220	0
400	4472	6
106	8858	9
101	2570	6
110	6426	18
127	6617	25
426	9405	8
108	8026	25
1231	7204	17
1760	5346	4
133	9188	26
2642	7765	2
106	4191	14
134	5122	3
111	7734	0
102	7111	7
806	1078	12
736	983	13
924	640	4
139	1783	11
174	890	12
28899	5365	21
154	9880	12
250	197	18
107	3076	32
14	3917	30
3531	3443	2
12	7608	33
760	8628	30
159	5913	2
3222	8839	35
101	6086	25
105	1254	4
101	9761	2
106	7997	5
454	980	3
944	1722	21
2355	7852	14
165	360	27
13110	4143	8
103	3117	17
413	2339	11
103	3043	19
101	97	15
1263	3314	6
106	6575	32
1125	7051	8
33085	3803	19
3421	4982	5
1293	4056	5
102	743	6
489	416	9
156	8368	8
4878	5860	1
10638	2326	11
1610	7978	10
9786	2497	1
1478	2037	10
2573	7723	7
14341	4569	5
33920	7028	11
57	2642	0
516	2374	12
169	7465	23
514	3207	2
151	6585	9
297	1873	5
281	5137	10
105	9559	38
367	9629	26
3560	9614	23
14	5455	3
26178	115	14
103	7362	19
101	258	5
105	942	16
493	5688	5
121	5718	17
102	9368	38
566	1427	14
11964	8348	11
23839	1449	7
2515	6140	0
13032	7075	12
114	399	20
1059	2458	7
108	3996	29
477	274	2
171	9974	4
135	7244	26
213	746	6
106	6708	7
101	4906	7
20609	4686	0
5127	7879	3
107	5979	14
7464	3254	33
